,dates,norte_grande,norte_chico,centro_sur,sur,austral
1,2002-07-11,0.329130798578262,0.383789896965027,0.510520547628403,0.34308323264122,0.34664711356163
2,2002-07-19,0.387685209512711,0.404593288898468,0.628914803266525,0.308643847703934,0.433123499155045
3,2002-07-27,0.337064996361732,0.495176494121552,0.426140755414963,0.279807776212692,0.285437762737274
4,2002-08-04,0.237018972635269,0.358517825603485,0.365248024463654,0.318525969982147,0.472059041261673
5,2002-08-12,0.35575407743454,0.471182391047478,0.624677658081055,0.328568339347839,0.291869848966599
6,2002-08-20,0.434324577450752,0.388887524604797,0.674279779195786,0.46759906411171,0.393269017338753
7,2002-08-28,0.398626148700714,0.415962070226669,0.36236760020256,0.310153469443321,0.392700463533401
8,2002-09-05,0.498885959386826,0.344887465238571,0.601044684648514,0.387202769517899,0.317034870386124
9,2002-09-13,0.415280044078827,0.399232506752014,0.647916465997696,0.308104395866394,0.326046884059906
10,2002-09-21,0.415236815810204,0.507132649421692,0.486369073390961,0.230375953018665,0.262085825204849
11,2002-09-29,0.466474339365959,0.473382204771042,0.520970195531845,0.240345165133476,0.256005078554153
12,2002-10-07,0.39251235127449,0.411007195711136,0.490130856633186,0.207818061113358,0.35017067193985
13,2002-10-15,0.456553295254707,0.39728707075119,0.443397521972656,0.230204969644547,0.325235694646835
14,2002-10-23,0.474402099847794,0.414874166250229,0.648613929748535,0.46594050526619,0.355199158191681
15,2002-10-31,0.438138216733932,0.474164128303528,0.769157707691193,0.39543342590332,0.34363229572773
16,2002-11-08,0.457241415977478,0.471996650099754,0.608719110488892,0.758176147937775,0.477800577878952
17,2002-11-16,0.448575109243393,0.5111443400383,0.575337052345276,0.66041624546051,0.300142407417297
18,2002-11-24,0.607652902603149,0.536528617143631,0.509150326251984,0.644939303398132,0.270498707890511
19,2002-12-02,0.395459830760956,0.540804445743561,1.01138842105865,0.892967015504837,0.368483260273933
20,2002-12-10,0.314115107059479,0.419751077890396,1.01431947946548,0.880191683769226,0.43907031416893
21,2002-12-18,0.30132856965065,0.322897017002106,0.396152079105377,0.733219921588898,0.41381898522377
22,2002-12-26,0.483360156416893,0.377715915441513,0.325240850448608,0.674013525247574,0.421914950013161
23,2002-12-30,0.333724737167358,0.28132227063179,0.285991817712784,0.682547807693481,0.431549906730652
24,2003-01-08,0.328510999679565,0.382165506482124,0.517827302217484,1.06088507175446,0.432686686515808
25,2003-01-16,0.291119694709778,0.463331878185272,0.405827149748802,0.578378200531006,0.325993448495865
26,2003-01-24,0.280080959200859,0.454048603773117,0.324277520179749,0.481899783015251,0.414859563112259
27,2003-02-01,0.259592533111572,0.366385832428932,0.311580926179886,0.441423922777176,0.198855444788933
28,2003-02-09,0.232742674648762,0.363798230886459,0.27640038728714,0.394543871283531,0.260283619165421
29,2003-02-17,0.27684511244297,0.475891277194023,0.626061737537384,0.426804393529892,0.219522386789322
30,2003-02-25,0.254007413983345,0.474642917513847,0.602209746837616,0.390473365783691,0.179559826850891
31,2003-03-05,0.299537405371666,0.446245536208153,0.445984780788422,0.327043235301971,0.128749087452888
32,2003-03-13,0.282791167497635,0.381836786866188,0.755396991968155,0.735159695148468,0.181120544672012
33,2003-03-21,0.274509832262993,0.44180816411972,0.785895586013794,0.461223900318146,0.16596944630146
34,2003-03-29,0.363903433084488,0.328534007072449,0.565358996391296,0.521453440189362,0.590869665145874
35,2003-04-06,0.428725689649582,0.442194625735283,0.540467917919159,0.424522757530212,0.288488492369652
36,2003-04-14,0.294471502304077,0.629344522953033,0.665524065494537,0.37648543715477,0.383461400866508
37,2003-04-22,0.25231471657753,0.440088301897049,0.523193061351776,0.305921375751495,0.436272263526917
38,2003-04-30,0.308711275458336,0.488183110952377,0.588080614805222,0.413397282361984,0.291149139404297
39,2003-05-08,0.249441057443619,0.467768087983131,0.620778977870941,0.306962132453918,0.242105759680271
40,2003-05-16,0.299914538860321,0.563309907913208,0.611180186271667,0.278094291687012,0.219279423356056
41,2003-05-24,0.235707595944405,0.54445743560791,0.614040076732635,0.499512434005737,0.890514671802521
42,2003-06-01,0.79582154750824,0.579437077045441,0.642918825149536,0.339034557342529,NA
43,2003-06-09,0.262387007474899,0.478727102279663,0.563427835702896,0.405466109514236,0.379407554864883
44,2003-06-17,0.246384300291538,0.426503866910934,0.522103875875473,0.267974302172661,0.190579578280449
45,2003-06-25,0.368673920631409,0.489310443401337,0.63136088848114,0.342715501785278,0.322638228535652
46,2003-07-03,0.298793271183968,0.363564074039459,0.501930177211761,0.310108095407486,NA
47,2003-07-11,0.25173619389534,0.3683180809021,0.49120968580246,0.232659637928009,1.31465065479279
48,2003-07-19,0.293464154005051,0.465029209852219,0.665709674358368,0.277213096618652,0.273727267980576
49,2003-07-27,0.381182163953781,0.449748367071152,0.78041809797287,0.468945175409317,0.179617822170258
50,2003-08-04,0.368528693914413,0.511106550693512,0.657585561275482,0.303202897310257,0.49776217341423
51,2003-08-12,0.371625274419785,0.465326368808746,0.750954329967499,0.419557899236679,0.243306964635849
52,2003-08-20,0.425195142626762,0.49468857049942,0.579185247421265,0.323461785912514,0.225560083985329
53,2003-08-28,0.424925565719604,0.509775400161743,0.644773483276367,0.41010856628418,0.354382395744324
54,2003-09-05,0.383035391569138,0.403961077332497,0.545113533735275,0.347556620836258,0.261644691228867
55,2003-09-13,0.405137047171593,0.489285618066788,0.672750294208527,0.728114664554596,0.348075270652771
56,2003-09-21,0.63253989815712,0.494820594787598,0.780507802963257,0.288076400756836,0.2784743309021
