,dates,norte_grande,norte_chico,centro_sur,sur,austral
1,2002-07-11,17.4249996105209,14.5099996756762,13.0999997071922,10.1299997735769,5.53999987617135
2,2002-07-19,17.9799995981157,14.2499996814877,12.349999723956,10.9299997556955,5.96499986667186
3,2002-07-27,16.5799996294081,14.8299996685237,12.3999997228384,10.4749997658655,7.35499983560294
4,2002-08-04,16.5399996303022,13.6699996944517,11.9724997323938,10.6399997621775,5.35999988019466
5,2002-08-12,15.8049996467307,14.8499996680766,12.6499997172505,9.80999978072941,5.58499987516552
6,2002-08-20,16.0099996421486,14.4299996774644,12.5999997183681,10.7249997602776,5.52999987639487
7,2002-08-28,16.4999996311963,14.7799996696413,12.7399997152388,9.77999978139997,8.39499981235713
8,2002-09-05,15.8049996467307,14.6399996727705,12.9149997113273,10.7649997593835,5.75499987136573
9,2002-09-13,16.3599996343255,14.6699996720999,12.9199997112155,10.504999765195,6.44999985583127
10,2002-09-21,16.059999641031,14.484999676235,12.5949997184798,10.5249997647479,6.35999985784292
11,2002-09-29,17.6099996063858,14.4499996770173,13.7849996918812,10.7449997598305,6.44499985594302
12,2002-10-07,16.5049996310845,15.5349996527657,13.7549996925518,10.7149997605011,6.01499986555427
13,2002-10-15,16.9799996204674,15.519999653101,14.0749996853992,10.5249997647479,6.84999984689057
14,2002-10-23,17.1699996162206,15.9049996444955,14.0799996852875,11.0899997521192,7.73499982710928
15,2002-10-31,17.65499960538,16.0549996411428,13.9849996874109,11.6349997399375,7.69499982800335
16,2002-11-08,18.2949995910749,15.9599996432662,14.1399996839464,11.914999733679,9.07999979704618
17,2002-11-16,18.939999576658,15.5099996533245,14.6749996719882,12.0749997301027,7.27499983739108
18,2002-11-24,18.3099995907396,16.3099996354431,15.20999966003,12.1399997286499,7.8349998248741
19,2002-12-02,19.2249995702878,16.4149996330962,14.6249996731058,12.2099997270852,7.8099998254329
20,2002-12-10,20.0449995519593,17.7449996033683,15.0699996631593,13.3499997016042,7.50999983213842
21,2002-12-18,21.5049995193258,18.8849995778874,16.7799996249378,15.1799996607006,8.2949998145923
22,2002-12-26,21.0799995288253,17.7149996040389,16.8999996222556,14.1299996841699,8.04499982018024
23,2002-12-30,21.5624995180406,18.1649995939806,17.239999614656,14.8449996681884,8.86999980174005
24,2003-01-08,21.1249995278195,18.0799995958805,16.4899996314198,14.649999672547,8.99499979894608
25,2003-01-16,21.6199995167553,17.5949996067211,17.0899996180087,15.7049996489659,8.75999980419874
26,2003-01-24,21.6099995169789,18.9849995756522,18.1049995953217,15.4199996553361,9.17999979481101
27,2003-02-01,23.374999477528,19.14749957202,18.5449995854869,15.8749996451661,8.51999980956316
28,2003-02-09,22.5699994955212,18.8999995775521,18.5349995857105,16.0049996422604,8.90499980095774
29,2003-02-17,22.6649994933978,19.0449995743111,17.8099996019155,15.8949996447191,9.17999979481101
30,2003-02-25,22.689999492839,18.8899995777756,17.5799996070564,15.4899996537715,9.31499979179353
31,2003-03-05,22.2199995033443,18.9149995772168,17.8149996018037,15.9099996443838,8.12999981828034
32,2003-03-13,21.8899995107204,20.9449995318428,16.3849996337667,15.4599996544421,9.3599997907877
33,2003-03-21,22.0999995060265,19.0749995736405,16.9749996205792,15.4499996546656,9.29499979224056
34,2003-03-29,21.5899995174259,19.4249995658174,17.4349996102974,15.6299996506423,10.9949997542426
35,2003-04-06,21.964999509044,19.1599995717406,17.489999609068,15.9299996439368,10.5249997647479
36,2003-04-14,22.0724995066412,17.9899995978922,16.3549996344373,15.2449996592477,10.4799997657537
37,2003-04-22,20.7049995372072,18.3149995906278,16.514999630861,14.9299996662885,9.02999979816377
38,2003-04-30,18.6849995823577,17.5449996078387,16.1899996381253,14.6449996726587,9.8199997805059
39,2003-05-08,19.9649995537475,18.0799995958805,16.9449996212497,14.6399996727705,9.68999978341162
40,2003-05-16,18.6199995838106,17.3949996111915,15.6099996510893,13.8899996895343,10.6599997617304
41,2003-05-24,18.8349995790049,16.2999996356666,14.939999666065,13.4299996998161,9.73999978229403
42,2003-06-01,18.0099995974451,16.7599996253848,14.5849996739998,12.9249997111037,7.61499982979149
43,2003-06-09,18.1749995937571,15.9249996440485,14.1149996845052,13.0999997071922,9.02499979827553
44,2003-06-17,17.8549996009097,16.224999637343,14.3449996793643,12.349999723956,7.14999984018505
45,2003-06-25,19.1799995712936,16.7199996262789,14.1449996838346,12.1799997277558,8.50999980978668
46,2003-07-03,18.4249995881692,16.9199996218085,14.2049996824935,12.0049997316673,7.94499982241541
47,2003-07-11,16.8899996224791,16.059999641031,13.6699996944517,11.8149997359142,7.01999984309077
48,2003-07-19,17.5399996079504,16.0749996406958,13.6949996938929,11.4649997437373,7.91499982308596
49,2003-07-27,16.8199996240437,14.8599996678531,12.9749997099862,11.4249997446314,8.44999981112778
50,2003-08-04,16.1899996381253,14.7999996691942,12.9199997112155,11.1949997497723,5.81999986991286
51,2003-08-12,17.9099995996803,14.2524996814318,12.6749997166917,10.9499997552484,7.1449998402968
52,2003-08-20,18.254999591969,15.0599996633828,12.9899997096509,11.2599997483194,7.09499984141439
53,2003-08-28,16.6649996275082,14.4399996772408,12.329999724403,10.8599997572601,7.36999983526766
54,2003-09-05,16.20499963779,14.6949996715412,12.3049997249618,11.1499997507781,5.74499987158924
55,2003-09-13,16.0299996417016,14.1599996834993,12.4999997206032,10.8449997575954,6.01999986544251
56,2003-09-21,16.4799996316433,14.7549996702,13.1399997062981,10.5949997631833,6.35999985784292
57,2003-09-29,16.3549996344373,14.8349996684119,13.0049997093156,11.3449997464195,5.28999988175929
