Transecto;Estaciones;Codigo;y;x;Profundidad;Temperatura;Conductividad;Sigma;Salinidad;Oxigeno_disuelto;Saturacion;Fluorescencia
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;49.25;10.3183;3.756608;26.1975;34.1118;2.9397;46.647;0.3826
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;49.5;10.2991;3.755036;26.2024;34.1137;2.9349;46.551;0.4108
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;49.75;10.2784;3.753273;26.2104;34.1183;2.9154;46.218;0.3571
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;50;10.2574;3.751408;26.2161;34.1196;2.8891;45.775;0.3321
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;50.25;10.2376;3.749659;26.2285;34.129;2.8451;45.052;0.3416
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;50.5;10.2209;3.748278;26.2447;34.1441;2.7763;43.942;0.2844
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;50.75;10.2073;3.747177;26.2507;34.149;2.6845;42.479;0.3372
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;51;10.1926;3.745975;26.2491;34.1451;2.6259;41.541;0.3252
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;51.25;10.1759;3.744633;26.2489;34.1425;2.6053;41.205;0.3431
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;51.5;10.1583;3.743253;26.2506;34.1412;2.6098;41.262;0.3286
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;51.75;10.1417;3.742001;26.2535;34.141;2.6239;41.469;0.3176
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;52;10.1286;3.741081;26.2632;34.1493;2.6231;41.442;0.2943
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;52.25;10.1187;3.740433;26.2733;34.1587;2.6332;41.59;0.3164
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;52.5;10.1111;3.73999;26.2815;34.1671;2.6328;41.578;0.311
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;52.75;10.1037;3.73953;26.284;34.1692;2.6229;41.416;0.3165
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;53;10.0962;3.738993;26.2825;34.166;2.5966;40.995;0.3014
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;53.25;10.0889;3.738462;26.2845;34.1669;2.5667;40.517;0.3014
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;53.5;10.0821;3.737988;26.2871;34.1683;2.532;39.961;0.3257
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;53.75;10.0757;3.737596;26.2948;34.1766;2.4985;39.429;0.2728
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;54;10.0686;3.737102;26.2969;34.1784;2.4709;38.991;0.2502
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;54.25;10.0606;3.736366;26.2925;34.1716;2.453;38.701;0.2422
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;54.5;10.0521;3.735553;26.2935;34.1707;2.4395;38.481;0.2852
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;54.75;10.042;3.734619;26.2989;34.1759;2.4314;38.348;0.2899
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;55;10.0296;3.733367;26.2901;34.1633;2.4243;38.228;0.3142
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;55.25;10.0156;3.731921;26.2878;34.157;2.411;38.003;0.2685
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;55.5;10.0012;3.730612;26.2948;34.1619;2.4129;38.018;0.3092
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;55.75;9.9885;3.729627;26.3019;34.1669;2.4171;38.07;0.2701
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;56;9.9794;3.729314;26.3132;34.1786;2.4444;38.492;0.2827
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;56.25;9.9732;3.72935;26.3234;34.19;2.471;38.907;0.285
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;56.5;9.9685;3.729445;26.3289;34.196;2.4895;39.197;0.2637
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;56.75;9.9646;3.729457;26.3315;34.1985;2.4835;39.099;0.2884
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;57;9.9617;3.729428;26.3345;34.2013;2.459;38.71;0.2624
