Transecto;Estaciones;Codigo;y;x;Profundidad;Temperatura;Conductividad;Sigma;Salinidad;Oxigeno_disuelto;Saturacion;Fluorescencia
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;22;11.4303;3.844451;25.9239;34.0107;4.7231;76.665;0.5402
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;22.25;11.4066;3.842075;25.9079;33.9887;4.7258;76.688;0.5395
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;22.5;11.3751;3.838572;25.8945;33.9657;4.7255;76.633;0.5538
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;22.75;11.3412;3.834883;25.8981;33.9606;4.7124;76.35;0.5351
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;23;11.3061;3.831308;25.9112;33.9683;4.7015;76.115;0.5509
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;23.25;11.2674;3.827422;25.9193;33.9699;4.6854;75.794;0.5417
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;23.5;11.2182;3.82247;25.9137;33.9558;4.6762;75.591;0.5194
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;23.75;11.1575;3.816075;25.9033;33.9322;4.657;75.199;0.5167
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;24;11.0923;3.809208;25.8978;33.9116;4.6399;74.823;0.5026
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;24.25;11.03;3.802581;25.8945;33.8927;4.6285;74.529;0.4998
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;24.5;10.9783;3.797111;25.9059;33.8914;4.6178;74.245;0.4999
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;24.75;10.9365;3.792862;25.9275;33.9043;4.6062;73.965;0.5008
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;25;10.9079;3.790217;25.9571;33.9311;4.5852;73.563;0.4836
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;25.25;10.89;3.788807;25.9757;33.9487;4.5641;73.188;0.4806
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;25.5;10.8783;3.788062;25.9868;33.9596;4.5402;72.79;0.4595
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;25.75;10.8715;3.787712;25.9904;33.9625;4.5281;72.584;0.4561
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;26;10.8692;3.787811;25.9962;33.9689;4.4932;72.02;0.3985
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;26.25;10.8646;3.787753;25.9903;33.9619;4.4535;71.384;0.3842
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;26.5;10.856;3.787484;25.9994;33.9721;4.4599;71.482;0.3984
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;26.75;10.8388;3.786094;25.9966;33.9684;4.4556;71.41;0.3729
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;27;10.8095;3.783003;25.9765;33.9398;4.4477;71.252;0.3769
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;27.25;10.7772;3.779354;25.9733;33.9251;4.4248;70.808;0.3899
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;27.5;10.753;3.777021;25.9969;33.9477;4.3921;70.245;0.3904
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;27.75;10.7333;3.775043;25.9925;33.9381;4.3618;69.73;0.3937
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;28;10.7188;3.77359;25.996;33.9383;4.3598;69.668;0.3891
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;28.25;10.7069;3.77254;26.006;33.9474;4.3716;69.838;0.3942
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;28.5;10.6966;3.771702;26.0094;33.9493;4.4047;70.351;0.39
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;28.75;10.687;3.770911;26.0127;33.9513;4.4401;70.902;0.3764
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;29;10.6773;3.770117;26.014;33.951;4.475;71.445;0.3722
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;29.25;10.6678;3.769342;26.0176;33.9533;4.4973;71.787;0.403
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;29.5;10.6578;3.768555;26.0193;33.9536;4.5018;71.845;0.4191
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;29.75;10.6471;3.767725;26.0189;33.9514;4.4951;71.727;0.3968
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;30;10.636;3.76689;26.0202;33.9508;4.479;71.453;0.412
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;30.25;10.6256;3.76612;26.0234;33.952;4.4575;71.091;0.3873
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;30.5;10.6172;3.765544;26.0309;33.9585;4.4289;70.616;0.3967
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;30.75;10.6106;3.765158;26.0388;33.9663;4.3932;70.036;0.3828
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;31;10.6045;3.764798;26.0424;33.9696;4.3456;69.268;0.3946
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;31.25;10.5993;3.764465;26.0445;33.9704;4.3032;68.582;0.3887
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;31.5;10.5964;3.764348;26.0475;33.9733;4.2797;68.202;0.3907
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;31.75;10.5959;3.76447;26.0533;33.9804;4.2813;68.229;0.3856
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;32;10.5903;3.763984;26.0414;33.9659;4.3029;68.571;0.3548
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;32.25;10.5843;3.76348;26.0475;33.9712;4.3209;68.844;0.354
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;32.5;10.5802;3.763209;26.0499;33.9732;4.321;68.84;0.3696
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;32.75;10.5766;3.762964;26.0506;33.9735;4.3099;68.659;0.3643
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;33;10.5733;3.76273;26.051;33.9733;4.301;68.513;0.3281
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;33.25;10.57;3.762507;26.052;33.9739;4.2967;68.44;0.3411
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;33.5;10.5661;3.762259;26.052;33.9734;4.2916;68.356;0.3534
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;33.75;10.5616;3.76197;26.0526;33.9736;4.287;68.278;0.322
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;34;10.5559;3.761614;26.0524;33.9727;4.2766;68.107;0.3723
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;34.25;10.5497;3.761224;26.052;33.9712;4.2683;67.968;0.3267
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;34.5;10.5427;3.760809;26.0563;33.9754;4.2635;67.886;0.3254
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;34.75;10.5344;3.760309;26.0604;33.9794;4.2599;67.82;0.3556
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;35;10.522;3.759452;26.0617;33.98;4.2503;67.662;0.3432
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;35.25;10.5063;3.758198;26.0542;33.9689;4.2423;67.52;0.3349
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;35.5;10.4878;3.756629;26.0469;33.9565;4.2263;67.239;0.319
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;35.75;10.4695;3.755219;26.0519;33.9565;4.1893;66.611;0.3129
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;36;10.4549;3.754379;26.082;33.9878;4.1365;65.737;0.3581
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;36.25;10.446;3.754035;26.0965;34.0029;4.0785;64.801;0.3034
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;36.5;10.4409;3.753881;26.1018;34.0083;4.0136;63.764;0.3109
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;36.75;10.437;3.753764;26.1048;34.0113;3.9565;62.852;0.3266
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;37;10.434;3.75364;26.1059;34.0123;3.9091;62.097;0.3124
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;37.25;10.431;3.753477;26.1055;34.0115;3.8652;61.396;0.2818
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;37.5;10.4275;3.753257;26.1076;34.0135;3.8365;60.937;0.2812
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;37.75;10.4222;3.752841;26.1078;34.0133;3.8174;60.632;0.2868
